video_id,transcript
G7KNmW9a75Y,we were good  we were gold  kind of dream that cannot be sold  we were right til we were not  built a home and watched it burn  i did not want to leave you  i did not want to lie 
G7KNmW9a75Y,started to cry but then remembered i  i can buy myself flowers  write my name in the sand  talk to myself for hours  say things you do not understand  i can take myself dancing  and i can hold my own hand 
G7KNmW9a75Y,yeah i can love me better than you can  can love me better  i can love me better baby  can love me better  i can love me better baby  paint my nails  cherry red  match the roses that you left 
G7KNmW9a75Y,no remorse  no regret  i forgive every word you said  i did not want to want to leave you  i did not want to fight  started to cry but then remembered i  i can buy myself flowers  write my name in the sand 
G7KNmW9a75Y,talk to myself for hours  say things you do not understand  i can take myself dancing  and i can hold my own hand  yeah i can love me better than you can  can love me better  i can love me better baby 
G7KNmW9a75Y,can love me better  i can love me better baby  can love me better  i can love me better baby  can love me better  i  i did not want to want to leave you  i did not want to fight 
G7KNmW9a75Y,started to cry but then remembered i  i can buy myself flowers  write my name in the sand  talk to myself for hours  say things you do not understand  i can take myself dancing  and i can hold my own hand 
G7KNmW9a75Y,yeah i can love me better than  yeah i can love me better than you can  can love me better  i can love me better baby  can love me better  i can love me better baby  can love me better 
G7KNmW9a75Y,i can love me better baby  can love me better  i 
Oa_RSwwpPaA,for a while that it was rough but lately i have been doing better than the last four cold december i recall and i see my family every month i found a girl my parents love she will come and stay the night and i think i am might have
Oa_RSwwpPaA,it all and i thank god every day for the girl he sent my way but i know the things he gives me he can take away and i hold you every night that is a feeling i want to get used to but there is no man as terrified
Oa_RSwwpPaA,as the man who stands to lose you oh hope i do not lose you please stay i want you i need you oh god do not take if these beautiful things that i have got please stay i want you i need you oh god god take this beautiful
Oa_RSwwpPaA,things that i have got oh please do not take i found my mind i am feeling sane it is been a while but i am finding my faith if everything it is good and it is great why do i sit and wait till it is gone oh i
Oa_RSwwpPaA,tell you i know i have got enough i have got peace and i have got love but i am up and i thinking i just might lose it all please stay i want you i need you oh god do not take these beautiful things that i have got
Oa_RSwwpPaA,oh please stay i want you i need you oh god i need these beautiful things that i have got for
8UMnAIaBofo,tell death to us part tell death to us part i told you she could not be alone you may now kiss the bride just doing it i just want to i just feel like i bet you she thinks the rain a sign oh my god stop i just
8UMnAIaBofo,hey i feel like starting something you got my engine running you got the keys to turn me on and on you got me accelate i want to celebrate it can not enough to take me on my it is on when it feels right nothing else matters is this
8UMnAIaBofo,real life too good to be true take me on let us give up the newly it is that first dance you all double or nothing make some noise with you you know i can not get enough i love that you know i can not get enough you love
8UMnAIaBofo,that you know i can not get enough give me all that show them some love sh stop it you love that you know i can not get enough me that sh this do not stand a chance i am still in love with you boys i just want to
8UMnAIaBofo,i just feel like every time i see it is like oh thir times the charm you want to bet good leave it do not want to share with no else stop stealing the one i need it do not got to keep a secret but i let you keep
8UMnAIaBofo,me to yourself cu they it feels like here we go do not catch it it is cursed i can feel a passion and you are right i like this i like the last guy better bring him back i can not get enough give me all that sh can
8UMnAIaBofo,not get enough you know i can not get enough i love that you know i can not get enough you love that you know i can not get enough that can not get enough of you i am still in love with you boy i am still in love
8UMnAIaBofo,i can not get in love of you it is the way you love me the way you touch me it is the way you look at me can not get enough of you she does not listen you know she she thinks i am her employee all she cares
8UMnAIaBofo,about is work okay and if she is not working she is trying to find more work add that to defensiveness and the constant criticism i apologize a million times want it is never enough for you
Iq8h3GEe22o,i do not like no whips and ch can not me down but you can whip your on me baby i am vanilla baby i will choke you but i are not no killer baby she telling me i am still a baby i get love theit like skill baby
Iq8h3GEe22o,and the thing about your boy is i down on that is right that is right on young a a a rico like suave young andri speaking a aka she is a alpha but not around your boy she get quiet around your boy hold on do not know what
Iq8h3GEe22o,you heard of what you thought about your boy but they lied about your boy going dumb and it is some idiotic about your boy she wearing cheater print that is how bad she will not be spot around your boy i do not like whip and ch you can
Iq8h3GEe22o,not me down but you can whip your on me baby wh your i am vanilla baby i will choke you but i are not no killer baby she telling me i am still a baby i get love in detroit like skill a baby and the thing about your
Iq8h3GEe22o,boy is down you on young i i a he is sharp like barwi she stole my heart then she got archived i keep it short with a lord far all the girls in the front row hey all the girls at the barricade hey all the girls have been
Iq8h3GEe22o,waiting all day let you tell hang out everything if you came with a man let go of his hand everybody in the sweet kicking up feet stand up dance and all the guys in the back waiting on the next track cut your boy little slack jack i am
Iq8h3GEe22o,vanilla baby i will choke you but i are not no killer baby she telling me i am still a baby i get love in detroit like skill a baby and the thing about your boy is ain no whips and chains and you can not me down but you
Iq8h3GEe22o,can whip youring on me that is right right youring on me baby i do not like no whips and chain me down but you can whip youring on me baby whip your
H5v3kku4y6Q,holding me back  gravity holding me back  i want you to hold out the palm of your hand  why do not we leave it at that  nothing to say  when everything gets in the way  seems you cannot be replace 
H5v3kku4y6Q,and i am the one who will stay  ooh  in this world  it is just us  you know it is not the same as it was  in this world  it is just us 
H5v3kku4y6Q,you know it is not the same as it was  as it was  as it was  you know it is not the same  answer the phone  harry  you are no good alone  why are you sitting at home on the floor 
H5v3kku4y6Q,what kind of pills are you on  ringing the bell  and nobody coming to help  your daddy lives by himself  he just wants to know that you are well  ooh  in this world  it is just us 
H5v3kku4y6Q,you know it is not the same as it was  in this world  it is just us  you know it is not the same as it was  as it was  as it was  you know it is not the same  go home 
H5v3kku4y6Q,get ahead  light speed internet  i do not want to talk about the way that it was  leave america  two kids follow her  i do not want to talk about who is doing it first  as it was 
H5v3kku4y6Q,you know it is not the same as it was  as it was  as it was 
suAR1PYFNYA,okay i come and i go tell me all the ways you need me i am not here for long catch me or i go who i come and i go prove you got the right to please me everybody knows catch me or i go time is passing like
suAR1PYFNYA,a solar eclipse see you watching and you blow me a kiss it is your moment baby do not let com closer are you reading my lips they say i come and i go tell me all the ways you need me i am not here for long catch me
suAR1PYFNYA,or i go i come and i go prove you got the right to please me everybody knows catch me or i go if you good enough go find a way maybe you could cause a girl to change do you think about it night and day maybe you could
