video_id,transcript
G7KNmW9a75Y,"♪ We were good, we were gold ♪ ♪ Kinda dream that can’t be
sold ♪ ♪ We were right til we weren’t ♪ ♪ Built a home and watched it
burn ♪ ♪ I didn’t wanna leave you ♪ ♪ I didn’t wanna lie ♪ ♪ Started to cry but then
remembered I ♪ ♪ I can buy myself flowers ♪ ♪ Write my name in the sand ♪ ♪ Talk to myself for hours ♪ ♪ Say things you don’t
understand ♪ ♪ I can take myself dancing ♪ ♪ And I can hold my own hand ♪ ♪ Yeah I can love me better than
you can ♪ ♪ Can love me better ♪ ♪ I can love me better baby ♪ ♪ Can love me better ♪ ♪ I can love me better baby ♪ ♪ Paint my nails, cherry red ♪ ♪ Match the roses that you left♪ ♪ No remorse, no regret ♪ ♪ I forgive every word you said♪ ♪ I didn’t wanna wanna leave
you ♪ ♪ I didn’t wanna fight ♪ ♪ Started to cry but then
remembered I ♪ ♪ I can buy myself flowers ♪ ♪ Write my name in the sand ♪ ♪ Talk to myself for hours ♪ ♪ Say things you don’t
understand ♪ ♪ I can take myself dancing ♪ ♪ And I can hold my own hand ♪ ♪ Yeah I can love me better than
you can ♪ ♪ Can love me better ♪ ♪ I can love me better baby ♪ ♪ Can love me better ♪ ♪ I can love me better baby ♪ ♪ Can love me better ♪ ♪ I can love me better baby ♪ ♪ Can love me better, I ♪ ♪ I didn’t wanna wanna leave
you ♪ ♪ I didn’t wanna fight ♪ ♪ Started to cry but then
remembered I ♪ ♪ I can buy myself flowers ♪ ♪ Write my name in the sand ♪ ♪ Talk to myself for hours ♪ ♪ Say things you don’t
understand ♪ ♪ I can take myself dancing ♪ ♪ And I can hold my own hand ♪ ♪ Yeah I can love me better
than ♪ ♪ Yeah I can love me better than
you can ♪ ♪ Can love me better ♪ ♪ I can love me better baby ♪ ♪ Can love me better ♪ ♪ I can love me better baby ♪ ♪ Can love me better ♪ ♪ I can love me better baby ♪ ♪ Can love me better, I ♪"
Oa_RSwwpPaA,[Music] for a while that it was rough but lately I've been doing better than the last four cold December I [Music] recall and I see my family every month I found a girl my parents love she'll come and stay the night and I think I'm might have it all and I thank God every day for the girl he sent my way but I know the things he gives me he can take [Music] away and I hold you every night that's a feeling I want to get used to but there's no man as terrified as the man who stands to lose you oh hope I don't lose [Music] you please stay I want you I need you oh God don't take if these beautiful things that I've got please stay I want you I need you oh God God take this beautiful things that I've got [Music] oh please don't take I found my mind I'm feeling sane it's been a while but I'm finding my faith if everything it's good and it's great why do I sit and wait till it's gone oh I tell you I know I've got enough I've got peace and I've got love but I'm up and I thinking I just might lose it all please stay I want you I need you oh God don't take these beautiful things that I've got [Music] oh please stay I want you I need you oh God I need these beautiful things that I've got for
8UMnAIaBofo,[Music] tell death to us part tell death to us part I told you she couldn't be alone you may now kiss the [Music] bride just doing it I just wanna I just feel like I bet you she thinks the rain's a sign oh my God stop I just hey I feel like starting something you got my engine running you got the keys to turn me on and on you got me accelate I want to celebrate it can't enough to take me on my S it's on when it feels right nothing else matters is this real life too good to be true take me on let's give up the newly W it's that first dance y'all double or nothing Make Some Noise with you you know I can't get enough I love that you know I can't get enough you love that you know I Can't Get Enough give me all that [Music]  show them some love sh stop it you love that you know I Can't Get Enough me that sh this don't stand a chance I'm still in love with you boys I just want to I just feel like every time I see it's like oh thir times the charm you want to bet good leave it don't want to share with no else stop stealing the one I need it don't got to keep a secret but I let you keep me to yourself CU they it feels like here we [Applause] [Music] go don't catch it it's cursed I can feel a passion and you're right I like this I like the last guy better bring him back I Can't Get Enough give me all that sh can't get enough you know I can't get enough I love that you know I can't get enough you love that you know I can't get enough that can't get enough of you I'm still in love with you boy I'm still in [Music] love I can't get in love of you it's the way you love me the way you touch me it's the way you look at me can't get enough of you [Applause] she doesn't listen you know she she thinks I'm her employee all she cares about is work okay and if she's not working she's trying to find more work add that to defensiveness and the constant criticism I apologize a million times want it's never enough for you
Iq8h3GEe22o,I don't like no whips and CH can't me down but you can whip your on me baby I'm vanilla baby I'll choke you but I ain't no killer baby she 28 telling me I'm still a baby I get love theit like skill baby and the thing about your boy is I down on that's right that's right on young j a c k a k a RICO like Suave young andri speaking a AKA she's a alpha but not around your boy she get quiet around your boy hold on don't know what you heard of what you thought about your boy but they lied about your boy going dumb and it's some idiotic about your boy she wearing cheater print that's how bad she won't be spot around your boy I don't like Whip and CH you can't me down but you can whip your on me baby wh your I'm vanilla baby I'll choke you but I ain't no killer baby she 28 telling me I'm still a baby I get love in Detroit like skill a baby and the thing about your boy is down you on young m i s s i o n a r y he's sharp like barwi she stole my heart then she got archived I keep it short with a [ __ ] Lord far all the girls in the front row hey all the girls at the barricade hey all the girls have been waiting all day let you tell hang out [ __ ] everything if you came with a man let go of his hand everybody in the sweet kicking up feet stand up [ __ ] dance and all the guys in the back waiting on the next track cut your boy little slack Jack I'm vanilla baby I'll choke you but I ain't no killer baby she 28 telling me I'm still a baby I get love in Detroit like skill a baby and the thing about your boy is Ain no whips and chains and you can't me down but you can whip youring on me that's right right youring on me baby I don't like no whips and chain me down but you can whip youring on me baby whip [Music] your
H5v3kku4y6Q,"♪ Holding me back ♪ ♪ Gravity’s holding me back ♪ ♪ I want you to hold out the
palm of your hand ♪ ♪ Why don’t we leave it at
that? ♪ ♪ Nothing to say ♪ ♪ When everything gets in the
way ♪ ♪ Seems you cannot be replace ♪ ♪ And I’m the one who will
stay ♪ ♪ Ooh ♪ ♪ In this world ♪ ♪ It’s just us ♪ ♪ You know it’s not the same as
it was ♪ ♪ In this world ♪ ♪ It’s just us ♪ ♪ You know it’s not the same as
it was ♪ ♪ As it was ♪ ♪ As it was ♪ ♪ You know it’s not the same ♪ ♪ Answer the phone ♪ ♪ “Harry, you’re no good alone ♪ ♪ Why are you sitting at home on
the floor? ♪ ♪ ""What kind of pills are you
on?"" ♪ ♪ Ringing the bell ♪ ♪ And nobody’s coming to help ♪ ♪ Your daddy lives by himself ♪ ♪ He just wants to know that
you’re well ♪ ♪ Ooh ♪ ♪ In this world ♪ ♪ It’s just us ♪ ♪ You know it’s not the same as
it was ♪ ♪ In this world ♪ ♪ It’s just us ♪ ♪ You know it’s not the same as
it was ♪ ♪ As it was ♪ ♪ As it was ♪ ♪ You know it’s not the same ♪ ♪ Go home ♪ ♪ Get ahead ♪ ♪ Light speed internet ♪ ♪ I don’t want to talk about the
way that it was ♪ ♪ Leave America ♪ ♪ Two kids follow her ♪ ♪ I don’t want to talk about
who’s doing it first ♪ ♪ (Hey!) ♪ ♪ As it was ♪ ♪ You know it’s not the same as
it was ♪ ♪ As it was ♪ ♪ As it was ♪"
suAR1PYFNYA,[Music] okay I come and I go tell me all the ways you need me I'm not here for long catch me or I go who I come and I go prove you got the right to please me everybody knows catch me or I go H time is passing like a solar eclipse see you watching and you blow me a kiss it's your moment baby don't let S com closer are you reading my lips they say I come and I go tell me all the ways you need me I'm not here for long catch me or I go H I come and I go prove you got the right to please me everybody knows catch me or I go if you good enough go find a way maybe you could cause a girl to change do you think about it night and day maybe you could be the one to make me say everything you say is sounding so sweet but do you practice everything that you preach I needin something that don't make believe if you got it baby give it to me they say I come and I go tell me all the ways you need me I'm not here for long catch me or I go H I come and I go come I prove you got the right to please me everybody knows catch me or I go who be me if you couldn't look go find a way maybe you could Clause a girl to change do you think about it night and day maybe you could be the one to make [Music] me I come and I go tell me all the ways you need me I'm not here for me I I come I I I everybody [Music] I [Music] catch me or go be
wAc-5m-wNac,[Music] [Music] many lifetimes ago she was an ocean and I was a s spring with the tide knowing I couldn't fight if I try because many lifetimes ago he was an ocean and I was to roll with the ti knowing I couldn't fight if I try to you're so vibrant baby you're so vibrant so flying so righteous you're the brightest star in my night keep the sky crazy out that time it's divine hope that time can divide us cuz every time you stay the night I wonder where the time went everywhere I ride you invite it I just want it Rong like d oh yeah I still hear your voice in The Silence I could feel the pain in the noes you sing you could feel the peace in my heart you bring everywhere you go you make everything grow oh everywhere you go you make everything I see you overflowing many lifetimes ago she was in notion and I was a sh ready to roll with the tide knowing I couldn't fight if I triy CU many lifetimes ago she was an oce and I was with the ti knowing I couldn't find if I [Music] no matter how hard I TR might as well yeah might as well lay it down I'm high as hell love is this is real mine as well water War enough to swim M as well stretch it out before I M as well treat this moment like the last I can help you heal from your past could tell you always shown compassion and I could tell you and always get it back these Melodies I sing to myself thoughts I couldn't keep to myself songs I should probably keep to myself like times ago she was an she was an oce and I was a sh spreading a ball with the tide knowing I couldn't fight if I CU many life times ago many she was an oce and now with the ti knowing I could if [Music] [Applause] I
m4_9TFeMfJE,"♪ Yeah, bitch I said what I
said ♪ ♪ I’d rather be famous instead ♪ ♪ I let all that get to my head♪ ♪ I don’t care, I paint the town
red ♪ ♪ Bitch I said what I said ♪ ♪ I’d rather be famous instead ♪ ♪ I let all that get to my head♪ ♪ I don’t care, I paint the town
red ♪ ♪ Mmm, She the Devil ♪ ♪ She a bad lil bitch she a
rebel ♪ ♪ N’ she put her foot to the
pedal ♪ ♪ It’ll take a whole lot for me
to settle ♪ ♪ Mmm, She the Devil ♪ ♪ She a bad lil bitch she a
rebel ♪ ♪ N’ she put her foot to the
pedal ♪ ♪ It’ll take a whole lot for me
to settle ♪ ♪ My happiness is all of your
misery ♪ ♪ I put good dick all in my
kidneys ♪ ♪ This margiel’ don’t come with
no jealousy ♪ ♪ My illness don’t come with no
remedy ♪ ♪ I am so much fun without
Hennessy ♪ ♪ They just want my love and my
energy ♪ ♪ You can’t talk no shit without
penalties ♪ ♪ Bitch I’m in yo’ shit if you
send for me ♪ ♪ I’m going to glow up one more
time ♪ ♪ Trust me I have magical
foresight ♪ ♪ You gon see me sleepin’ in
courtside ♪ ♪ You gon see me eatin’ ten more
times ♪ ♪ Ugh You can’t take that bitch
nowhere ♪ ♪ Ugh I look better with no
hair ♪ ♪ Ugh Ain’t no sign I can’t
smoke here ♪ ♪ Ugh Gimme the chance and I’ll
go there ♪ ♪ Bitch I said what I said ♪ ♪ I’d rather be famous instead ♪ ♪ I let all that get to my head♪ ♪ I don’t care, I paint the town
red ♪ ♪ Bitch I said what I said ♪ ♪ I’d rather be famous instead ♪ ♪ I let all that get to my head♪ ♪ I don’t care, I paint the town
red ♪ ♪ Mmm , She the Devil ♪ ♪ She a bad lil bitch she a
rebel ♪ ♪ N’ she put her foot to the
pedal ♪ ♪ It’ll take a whole lot for me
to settle ♪ ♪ Mmm , She the Devil ♪ ♪ She a bad lil bitch she a
rebel ♪ ♪ N’ she put her foot to the
pedal ♪ ♪ It’ll take a whole lot for me
to settle ♪ ♪ Pop make money now you try
bitch ♪ ♪ You could use a revamp with a
new vibe sis ♪ ♪ I don’t need a big feature or
a new sidekick ♪ ♪ I don’t need a new fan ‘cause
my boo like it ♪ ♪ I don’t need to wear a wig to
make you like it ♪ ♪ I’mma two-time bitch
You ain’t knew I’d win ♪ ♪ Throw a shot like you tryna
have a food fight then ♪ ♪ All my opps waitin’ for me to
be you I bet ♪ ♪ Say I got drive, I don’t need
a car ♪ ♪ Money really all that we
fiendin’ for ♪ ♪ I’m doin’ thangs they ain’t
seen before ♪ ♪ Fans ain’t dumb but extremists
are ♪ ♪ I’m a demon lord ♪ ♪ Fall off what I ain’t seen the
horse ♪ ♪ Called your bluff better cite
the source ♪ ♪ Fame ain’t somethin’ that I
need no more ♪ ♪ ‘Cause bitch I said what I
said ♪ ♪ I’d rather be famous instead ♪ ♪ I let all that get to my head♪ ♪ I don’t care, I paint the town
red ♪ ♪ Bitch I said what I said ♪ ♪ I’d rather be famous instead ♪ ♪ I let all that get to my head♪ ♪ I don’t care, I paint the town
red ♪ ♪ Mmm , She the Devil ♪ ♪ She a bad lil bitch she a
rebel ♪ ♪ N’ she put her foot to the
pedal ♪ ♪ It’ll take a whole lot for me
to settle ♪ ♪ Mmm , She the Devil ♪ ♪ She a bad lil bitch she a
rebel ♪ ♪ N’ she put her foot to the
pedal ♪ ♪ It’ll take a whole lot for me
to settle ♪"
ojpTpT5i-PI,"[BIRDS CHIRPING] ♪♪♪ ♪ ELECTRIC ♪ ♪ IN THE DARK
WHEN YOU FEEL LOST ♪ ♪ WANNA BE THE BEST
BUT AT WHAT COST ♪ ♪ IF YOU'RE GONNA STAY HERE ♪ ♪ NOTHING'S
EVER CHANGING, NO ♪ ♪ BIG WORLD
GOTTA SEE IT ALL ♪ ♪ GOTTA GET UP
EVEN WHEN YOU FALL ♪ ♪ THERE'S NO POINT
IN WAITING, NO ♪ ♪ OHHH ♪ ♪ THEY'LL TRY TO
BRING YOU DOWN ♪ ♪ OHHHH ♪ ♪ BUT YOU'VE GOT
THE POWER NOW ♪ ♪ I KNOW YOU FEEL IT,
FEEL IT ♪ ♪ IF YOU BELIEVE IT
THEN YOU CAN ♪ ♪ THERE'S NO REASON THAT
THIS LIFE CAN'T BE ELECTRIC ♪ ♪ OH I CAN SEE IT, SEE IT ♪ ♪ IF YOU BELIEVE IT
THEN YOU CAN ♪ ♪ THERE'S NO REASON THAT
THIS LIFE CAN'T BE ELECTRIC ♪ ♪ LONG ROAD
GOT A WAYS TO GO ♪ ♪ TOOK A BIG STEP
BUT YOU'RE NOT ALONE ♪ ♪ CAUSE WE GOT EACH OTHER ♪ ♪ THERE'S SO MUCH
YOU'LL DISCOVER ♪ ♪ HEADSTRONG BUT
YOUR HEART IS STRONGER ♪ ♪ STAY CALM WALKING THROUGH
THE FIRE ♪ ♪ I KNOW YOU'RE GONNA
MAKE IT OUT ♪ ♪ OHHH ♪ ♪ THEY'LL TRY TO
BRING YOU DOWN ♪ ♪ OHHHH ♪ ♪ BUT YOU'VE GOT
THE POWER NOW ♪ ♪ I KNOW YOU FEEL IT,
FEEL IT ♪ ♪ IF YOU BELIEVE IT
THEN YOU CAN ♪ ♪ THERE'S NO REASON THAT
THIS LIFE CAN'T BE ELECTRIC ♪ ♪ OH I CAN SEE IT, SEE IT ♪ ♪ IF YOU BELIEVE IT
THEN YOU CAN ♪ ♪ THERE'S NO REASON THAT
THIS LIFE CAN'T BE ELECTRIC ♪ ♪ OHHH ♪ ♪ THEY'LL TRY TO
BRING YOU DOWN ♪ ♪ OHHH ♪ ♪ YOU'RE ELECTRIC RIGHT NOW
(ELECTRIC) ♪ ♪ OHHH ♪ ♪ BUT YOU'VE GOT
THE POWER NOW ♪ ♪ YOU'VE GOT THE POWER NOW ♪ ♪♪♪ ♪ (ELECTRIC) ♪ ♪ YOU'VE GOT THE POWER NOW ♪ ♪ WOOOW YEAH ♪ ♪ I KNOW YOU FEEL IT,
FEEL IT ♪ ♪ IF YOU BELIEVE IT
THEN YOU CAN ♪ ♪ THERE'S NO REASON THAT
THIS LIFE CAN'T BE ELECTRIC ♪ ♪ OH I CAN SEE IT, SEE IT
(OH I CAN SEE IT) ♪ ♪ IF YOU BELIEVE IT
THEN YOU CAN ♪ ♪ THERE'S NO REASON THAT
THIS LIFE CAN'T BE ELECTRIC ♪ ♪ OHHH ♪ ♪ THEY'LL TRY TO
BRING YOU DOWN ♪ ♪ OHHH ♪ ♪ YOU'RE ELECTRIC RIGHT NOW
(ELECTRIC) ♪ ♪ OHH ♪ ♪ BUT, YOU'VE GOT
THE POWER NOW ♪ ♪ YOU'VE GOT THE POWER NOW ♪ ♪♪♪ ♪ YOU'VE GOT THE POWER NOW ♪"
MoN9ql6Yymw,"Telling myself I won't go there Oh but I know that I won't care Trying wash away all the blood I've spilt This lust is a burden that we both share Two sinners can't atone from a lone prayer Souls tied intertwined by pride and guilt There's darkness in the distance From the way that I've been living But I know I can't resist it Oh I love it and hate it at the same time You and I drink the poison
from the same vine Oh I love it and hate it at the same time Hiding all of our sins from the daylight From the daylight Running from the daylight From the daylight Running from the daylight Oh I love it and hate it at the same time Telling myself it's the last time Can you spare any mercy
that you might find If I'm down on my knees again Deep down way down, Lord, I try I try to follow your light
but it's nighttime Please, don't leave me in the end There's darkness in the distance I'm begging for forgiveness But I know I might resist it oh Oh I love it and hate it at the same time You and I drink the poison
from the same vine Oh I love it and hate it at the same time Hiding all of our sins from the daylight From the daylight Running from the daylight From the daylight Running from the daylight Oh I love it and hate it at the same time Oh I love it and hate it at the same time You and I drink the poison
from the same vine Oh I love it and hate it at the same time Hiding all of our sins from the daylight From the daylight Running from the daylight From the daylight Running from the daylight Oh I love it and hate it at the same time"
